Entry Time,Exit Time,Type,Points,Duration_min,Reason
2025-10-02 00:42:00+02:00,2025-10-02 00:43:00+02:00,SHORT,-2.75,1.0,Divergence
2025-10-02 00:47:00+02:00,2025-10-02 00:47:00+02:00,LONG,0.0,0.0,Divergence
2025-10-02 00:53:00+02:00,2025-10-02 00:53:00+02:00,SHORT,-0.0,0.0,Divergence
2025-10-02 00:55:00+02:00,2025-10-02 00:56:00+02:00,SHORT,-0.5,1.0,Divergence
2025-10-02 00:58:00+02:00,2025-10-02 00:59:00+02:00,SHORT,1.25,1.0,Divergence
2025-10-02 01:02:00+02:00,2025-10-02 01:02:00+02:00,SHORT,-0.0,0.0,Divergence
2025-10-02 01:04:00+02:00,2025-10-02 01:04:00+02:00,LONG,0.0,0.0,Divergence
2025-10-02 01:06:00+02:00,2025-10-02 01:06:00+02:00,LONG,0.0,0.0,Divergence
2025-10-02 01:09:00+02:00,2025-10-02 01:09:00+02:00,LONG,0.0,0.0,Divergence
2025-10-02 01:12:00+02:00,2025-10-02 01:12:00+02:00,LONG,0.0,0.0,Divergence
2025-10-02 01:14:00+02:00,2025-10-02 01:14:00+02:00,LONG,0.0,0.0,Divergence
2025-10-02 01:16:00+02:00,2025-10-02 01:16:00+02:00,LONG,0.0,0.0,Divergence
2025-10-02 01:18:00+02:00,2025-10-02 01:19:00+02:00,LONG,2.0,1.0,Divergence
2025-10-02 01:23:00+02:00,2025-10-02 01:23:00+02:00,LONG,0.0,0.0,Divergence
2025-10-02 01:25:00+02:00,2025-10-02 01:25:00+02:00,LONG,0.0,0.0,Divergence
2025-10-02 01:27:00+02:00,2025-10-02 01:28:00+02:00,SHORT,-1.0,1.0,Divergence
2025-10-02 01:31:00+02:00,2025-10-02 01:36:00+02:00,SHORT,15.0,5.0,Divergence
2025-10-02 01:38:00+02:00,2025-10-02 01:44:00+02:00,LONG,9.25,6.0,Divergence
2025-10-02 01:46:00+02:00,2025-10-02 01:47:00+02:00,LONG,-0.75,1.0,Divergence
2025-10-02 01:51:00+02:00,2025-10-02 01:51:00+02:00,LONG,0.0,0.0,Divergence
2025-10-02 01:53:00+02:00,2025-10-02 01:53:00+02:00,SHORT,-0.0,0.0,Divergence
2025-10-02 01:56:00+02:00,2025-10-02 01:58:00+02:00,LONG,6.0,2.0,Divergence
2025-10-02 02:00:00+02:00,2025-10-02 02:07:00+02:00,SHORT,-10.0,7.0,Divergence
2025-10-02 02:09:00+02:00,2025-10-02 02:09:00+02:00,LONG,0.0,0.0,Divergence
2025-10-02 02:14:00+02:00,2025-10-02 02:14:00+02:00,LONG,0.0,0.0,Divergence
2025-10-02 02:17:00+02:00,2025-10-02 02:18:00+02:00,LONG,-1.25,1.0,Divergence
2025-10-02 02:23:00+02:00,2025-10-02 02:23:00+02:00,LONG,0.0,0.0,Divergence
2025-10-02 02:25:00+02:00,2025-10-02 02:25:00+02:00,LONG,0.0,0.0,Divergence
2025-10-02 02:27:00+02:00,2025-10-02 02:32:00+02:00,SHORT,2.25,5.0,Divergence
